"№
п/п";"Код
номенклатуры";Ноенклатура;"Кол-во
на складах";"Макс.
закупка";Опт Карта Рубин;Опт Карта Рубин +;Розничная цена;Оптовая цена;gold;platinum
1426;00080140;Лампа с/д LEEK LE A60 LED 10W 3K E27 (NE) (100);660;60,08;98;95;98;86;93,1;88,2
1427;00080014;Лампа натриев ДНАТ 100Вт E40 TDM (1/25;24;375,2;719;679;719;599;683,05;647,1
1428;00080013;Лампа накаливания Шар 60Вт E27 прозр. Космос LKsmSSpCL60E27v2 RS;0; ;35; ;35;28;33,25;31,5
1429;00080011;Лампа накаливания Свеча 60Вт E27 прозр. Космос LKsmSCnCL60E27v2 RS;7;17,22;34; ;34;27;32,3;30,6
1430;00079994;Лампа накаливания РН 15Вт E14 (300) КЭЛЗ 8108003 RS;96;13,42;27; ;27;22;25,65;24,3
1431;00080010;Лампа накаливания МО 95Вт E27 36В Лисма 353422000 RS    НЕ ЗАКАЗЫВАТЬ!!!!!!!!!!;0; ;28; ;28;22;26,6;25,2
1432;00080713;Лампа накаливания ЛОН 60вт Б-230-60-4 Е27(Лисма ООО ССЗ) НЕТ;150;11,38; ; ;33;30;31,35;29,7
1433;00079993;Лампа накаливания ДШМТ 230-40Вт E14 (100) Favor 8109021 RS;141;14,87;30; ;30;24;28,5;27
1434;00079992;Лампа накаливания ДШ 60Вт E14 Лисма 322602400 RS;185;12;24; ;24;19;22,8;21,6
1435;00079991;Лампа накаливания ДШ 40Вт E14 (верс.) Лисма 321600300\327301200 RS;42;12;24; ;24;19;22,8;21,6
1436;00080009;Лампа накаливания ДШ 230-60Вт E27 (100) КЭЛЗ 8109008;100;16,26;27;25;27;20;25,65;24,3
1437;00079990;Лампа накаливания ДСМТ 230-60Вт E14 (100) Favor 8109018 RS;0; ;30; ;30;24;28,5;27
1438;00080218;Лампа филаментная F-LED G95-7W-824-E27 7Вт шар золотая 2400К тепл. бел. E27 Эра Б0047662 RS;0; ;260;260;260;260;247;234
1439;00080217;Лампа филаментная F-LED G95-7W-824-E27 7Вт  шар золотая 2400К спирал. тепл. бел. E27 Эра Б0047663 RS;1;506,7;499;499;499;499;474,05;449,1
1440;00080209;Лампа филаментная F-LED BXS-11W-840-E14 11Вт свеча на ветру 4000К нейтр. бел. E14 Эра Б0047002 RS;15;131,49;139;139;139;139;132,05;125,1
1441;00080208;Лампа филаментная F-LED BXS-11W-827-E14 11Вт свеча на ветру E14 тепл. бел. ЭРА Б0047001 RS;0; ;129;129;129;129;122,55;116,1
1442;00080207;Лампа филаментная F-LED B35-9W-840-E14 9Вт свеча 4000К нейтр. бел. E14 Эра Б0046995 RS;0; ;119;119;119;119;113,05;107,1
1443;00080216;Лампа филаментная F-LED B35-9w-827-E27  9Вт свеча E27 тепл. бел. ЭРА Б0046993 RS;0; ;115;115;115;115;109,25;103,5
1444;00080215;Лампа филаментная F-LED B35-11W-840-E27 11Вт свеча 4000К нейтр. бел. E27 Эра Б0046988 RS;1;120,32;140;140;140;140;133;126
1445;00080206;Лампа филаментная F-LED B35-11W-840-E14 11Вт свеча 4000К нейтр. бел. E14 Эра Б0046987 RS;1;120,32;129;129;129;129;122,55;116,1
1446;00080214;Лампа филаментная F-LED B35-11w-827-E27 B35 11Вт свеча E27 тепл. бел. ЭРА Б0046986 RS;2;104,37;140;140;140;140;133;126
1447;00080213;Лампа филаментная F-LED A60-11W-840-E27 11Вт грушевидная 4000К нейтр. бел. E27 Эра Б0035026 RS;17;130,79;140;140;140;140;133;126
1448;00080212;Лампа филаментная F-LED A60-11W-827-E27 11Вт грушевидная 2700К тепл. бел. E27 Эра Б0035025 RS;0; ;140;140;140;140;133;126
1449;00080204;Лампа светодиодная ЭРА STD LED POWER T160-100W-6500-E27/E40 Е27 / Е40 100Вт колокол холодный дневно;0; ;1 350,00;1 230,00;1 350,00;1 140,00;1 282,50;1 215,00
1450;00080062;Лампа светодиодная PLED-GX53 12Вт таблетка матовая 5000К холод. бел. GX53 1040лм 230В JazzWay 102 RS;1;74,18;115;106,95;115;97;109,25;103,5
1451;00080203;Лампа светодиодная LL-R-С37-6W-230-4K-E27 (груша, 6Вт, нейтр., Е27) Ресанта;0; ;95;95;95;88;90,25;85,5
1452;00080202;Лампа светодиодная LL-R-G45-7W-230-4K-E27 (шар, 7Вт, нейтр., Е27) Ресанта;2;64,3;100;100;100;91;95;90
1453;00080118;Лампа светодиодная LL-R-G45-7W-230-4K-E14 (шар, 7Вт, нейтр., Е14) Ресанта;0; ;100;100;100;91;95;90
1454;00080116;Лампа светодиодная LL-R-C37-7W-230-4K-E14 (свеча, 7Вт, нейтр., Е14) Ресанта;3;62,44;95;95;95;84;90,25;85,5
1455;00080201;Лампа светодиодная LL-R-C37-6W-230-4K-E27 (свеча, 6Вт, нейтр., Е27) Ресанта;131;57,16;95;93;95;86;90,25;85,5
1456;00080115;Лампа светодиодная LL-R-C37-6W-230-4K-E14 (свеча, 6Вт, нейтр., Е14) Ресанта;1;57,92;95;95;95;86;90,25;85,5
1457;00080114;Лампа светодиодная LL-R-C37-5W-230-4K-E14 (свеча, 5Вт, нейтр., Е14) Ресанта;0; ; ; ; ; ; ; 
1458;00080200;Лампа светодиодная LL-R-A95-25W-230-4K-E27 (груша, 25Вт, нейтр., Е27) Ресанта;16;211,84;330;330;330;303;313,5;297
1459;00080199;Лампа светодиодная LL-R-A80-20W-230-6K-E27 (груша, 20Вт, холод., Е27) Ресанта;196;138,95;214;199;214;197;203,3;192,6
1460;00080198;Лампа светодиодная LL-R-A80-20W-230-4K-E27 (груша, 20Вт, нейтр., Е27) Ресанта;202;137,88;214;199;214;197;203,3;192,6
1461;00084940;Лампа светодиодная LL-R-A80-20W-230-3K-E27 (груша, 20Вт, тепл., Е27) Ресанта;194;95,66;214;199;214;197;203,3;192,6
1462;00080197;Лампа светодиодная LL-R-A65-15W-230-6K-E27 (груша, 15Вт, холод., Е27) Ресанта;166;69,65;140;129;140;129;133;126
1463;00080196;Лампа светодиодная LL-R-A65-15W-230-4K-E27 (груша, 15Вт, нейтр., Е27) Ресанта;168;69,65;140;129;140;129;133;126
1464;00084939;Лампа светодиодная LL-R-A65-15W-230-3K-E27 (груша, 15Вт, тепл., Е27) Ресанта;191;69,65;140;129;140;129;133;126
1465;00080632;Механизм выключателя 1-кл. СП Glossa 10А IP20 (сх. 1) 10AX бел. SchE GSL000111 RS;144;126,64;192;186;192;161;182,4;172,8
1466;00043114;Механизм выключателя 1-кл. СП Glossa 10А IP20 (сх. 1) 10AX беж. SchE GSL000211 RS;77;126,64;192;186;192;167;182,4;172,8
1467;00081193;Лоток перф. 50х300х3000-0,7 мм EKF;0; ;637; ;637;529;605,15;573,3
1468;00081194;Лоток перф. 50х200х3000-0,7 мм EKF;0;349,14;693;660;693;528;658,35;623,7
1469;00081195;Лоток перф. 50х100х3000-0,7 мм EKF;0;230,71;437;417;437;334;415,15;393,3
1470;00079944;Лента светодиодная LE COB 19Вт фиолетовый IP20 (5м) (500м);18;1625,04;1 626,00;1 626,00;1 626,00;1 626,00;1 544,70;1 463,40
1471;00079943;Лента светодиодная LE COB 19Вт розовый IP20 (5м) (500м);20;1625,04;1 626,00;1 626,00;1 626,00;1 626,00;1 544,70;1 463,40
1472;00079942;Лента светодиодная LE COB 19Вт красный IP20 (5м) (500м);20;1625,04;1 626,00;1 626,00;1 626,00;1 626,00;1 544,70;1 463,40
1473;00079941;Лента светодиодная LE COB 19Вт зеленый IP20 (5м) (500м);19;1625,04;1 626,00;1 626,00;1 626,00;1 626,00;1 544,70;1 463,40
1474;00079940;Лента светодиодная LE COB 19Вт голубой IP20 (5м) (500м);20;1625,04;1 626,00;1 626,00;1 626,00;1 626,00;1 544,70;1 463,40
1475;00079945;Лента с/д LE LED NEON 2835-120 9,6Вт 6500К IP 67 220В (50м);0; ;158;158;158;158;150,1;142,2
1476;00085860;Лента с/д LE LED NEON 2835-120 9,6Вт 3000К IP 67 220В (50м);150;101,98;158;158;158;158;150,1;142,2
1477;00079939;Лента с/д LE 5050-60 14,4Вт RGB IP20 12В (5м) (500м);19;503,01;650;650;650;650;617,5;585
1478;00079938;Лента с/д LE 5050-60 14,4Вт 6500K IP20 12В (5м) (500м);68;421;450;450;450;450;427,5;405
1479;00086130;Лента с/д LE 5050-60 14,4Вт 3000K IP20 12В (5м) (500м);30; ; ; ; ; ; ; 
1480;00079937;Лента с/д LE 2835-120 9,6Вт 6500K IP20 12В (5м) (500м);27;379,55;450;450;450;450;427,5;405
1481;00079936;Лента с/д LE 2835-120 9,6Вт 4000K IP20 12В (5м) (500м);8;375,61;450;450;450;450;427,5;405
1482;00079935;Лента с/д LE 2835-120 9,6Вт 3000K IP20 12В (5м) (500м);0; ;450;450;450;450;427,5;405
1483;00079934;Лента с/д LE 2835 -60 4,8Вт 6500K IP20 12В (5м) (500м);2;202,17;250;250;250;250;237,5;225
1484;00079933;Лента с/д LE 2835 -60 4,8Вт 4000K IP20 12В (5м) (500м);0; ;250;250;250;250;237,5;225
1485;00079425;Лента бандажная стальная F2007.1 (1 м.) EKF;11;66,46;113;107;113;87;107,35;101,7
1486;00080691;Лампа энергосберегающая КЛЛ 11 Вт/842 G23 D34x234 Космос (КОСМОС) НЕТ;1;94,78; ; ;218;196;207,1;196,2
1487;00080222;Лампа филаментная F-LED ST64-7W-824-E27 7Вт ST64 золотая 2400К тепл. бел. E27 Эра Б0 RS;0; ;299;299;299;299;284,05;269,1
1488;00080221;Лампа филаментная F-LED ST64-7W-824-E27 7Вт ST64 золотая 2400К спирал. тепл. бел. E2 RS;0; ;299;299;299;299;284,05;269,1
1489;00080220;Лампа филаментная F-LED P45-11W-840-E27 11Вт шар 4000К нейтр. бел. E27 Эра Б0047015 RS;17;120,32;125;125;125;125;118,75;112,5
1490;00080211;Лампа филаментная F-LED P45-11W-840-E14 11Вт шар 4000К нейтр. бел. E14 Эра Б0047014 RS;5;120,32;129;129;129;129;122,55;116,1
1491;00080219;Лампа филаментная F-LED P45-11w-827-E27 11Вт шар E27 тепл. бел. ЭРА Б0047013 RS;0; ;125;125;125;125;118,75;112,5
1492;00080210;Лампа филаментная F-LED P45-11w-827-E14 11Вт шар E14 тепл. бел. ЭРА Б0047012 RS;0; ;129;129;129;129;122,55;116,1
1493;00080036;Лампа светодиодная LED-JCDR-VC 11Вт 230В GU5.3 4000К 990лм IN HOME 4690612020358 RS;0; ;141; ;141;113;133,95;126,9
1494;00080181;Лампа светодиодная LED-HP-PRO60Вт 230В 6500К E27 5400Лм IN HOME 4690612031132 RS;0; ;540;502,2;540;450;513;486
1495;00080180;Лампа светодиодная LED-HP-PRO 50Вт 230В 6500К E27 4500Лм IN HOME 4690612031125 RS;80;233,19;445;413,85;445;296;422,75;400,5
1496;00080179;Лампа светодиодная LED-HP-PRO 40Вт 230В 6500К E27 3600лм IN HOME 4690612031101 RS;0; ;390; ;390;312;370,5;351
1497;00080178;Лампа светодиодная LED-HP-PRO 30Вт 4000К нейтр. бел. E27 2850лм 230В IN HOME 4690612031071 RS;0; ;200;194;200;158;190;180
1498;00080061;Лампа светодиодная LED-GX53-VC 8Вт таблетка 6500К холод. бел. GX53 760лм 230В IN HOME 4690612020747;0; ;61;59;61;48;57,95;54,9
1499;00080060;Лампа светодиодная LED-GX53-VC 8Вт 230В 4000К 720лм IN HOME 4690612020730 RS;0; ;61;59;61;48;57,95;54,9
1500;00080059;Лампа светодиодная LED-GX53-VC 8Вт 230В 3000К 720лм IN HOME 4690612020723 RS;1;182,09;113; ;113;90;107,35;101,7
1501;00080058;Лампа светодиодная LED-GX53-VC 6Вт 230В 4000К 540лм IN HOME 4690612030791 RS;0; ;111; ;111;89;105,45;99,9
1502;00080057;Лампа светодиодная LED-GX53-VC 6Вт 230В 3000К 540лм IN HOME 4690612030777 RS;0; ;109; ;109;87;103,55;98,1
1503;00080055;Лампа светодиодная LED-GX53-VC 12Вт 6500К холод. бел. GX53 1140лм 170-265В IN HOME 4690612020808;0; ;70;67;70;55;66,5;63
1504;00080054;Лампа светодиодная LED-GX53-VC 12Вт 230В 4000К 1080лм IN HOME 4690612020792 RS;1;40,68;70;67;70;55;66,5;63
1505;00080053;Лампа светодиодная LED-GX53-VC 12Вт 230В 3000К 1080лм IN HOME 4690612020785 RS;0; ;80;74,4;80;67;76;72
1506;00080052;Лампа светодиодная LED-GX53-VC 10Вт 230В 4000К 900лм IN HOME 4690612020761 RS;0; ;127; ;127;102;120,65;114,3
1507;00080050;Лампа светодиодная LED-GX53-VC 10Вт 230В 3000К 900лм IN HOME 4690612020754 RS;0; ;129; ;129;103;122,55;116,1
1508;00080097;Лампа светодиодная LED-C35-11W-E14-4K Свеча 11Вт E14 4500К 172-265В Ergolux 13619 RS;0; ;129; ;129;103;122,55;116,1
1509;00080177;Лампа светодиодная LED-A70-VC 30Вт 230В E27 4000К 2700лм IN HOME 4690612024141 RS;0; ;175;162,75;175;145;166,25;157,5
1510;00080176;Лампа светодиодная LED-A65-VC 25Вт 230В E27 3000К 2000лм IN HOME 4690612024066 RS;0; ;215; ;215;172;204,25;193,5
1511;00080175;Лампа светодиодная LED-A65-VC 20Вт 230В E27 4000К 1800лм IN HOME 46906120240303 RS;0; ;200; ;200;160;190;180
1512;00080174;Лампа светодиодная LED-A60-VC 8Вт грушевидная 4000К нейтр. бел. E27 760лм 230В IN HOME 4690612024028;8;44,44;70;65,1;70;60;66,5;63
1513;00080173;Лампа светодиодная LED-A60-VC 8Вт 230В E27 3000К 720Лм IN HOME 4690612024004 RS;0; ;95; ;95;76;90,25;85,5
1514;00080172;Лампа светодиодная LED-A60-VC 20Вт 230В E27 4000К 1800лм IN HOME 4690612020303 RS;5;67,5;105;97,65;105;90;99,75;94,5
1515;00080171;Лампа светодиодная LED-A60-VC 20Вт 230В E27 3000К 1800лм IN HOME 4690612020297 RS;0; ;157; ;157;126;149,15;141,3
1516;00080170;Лампа светодиодная LED-A60-VC 15Вт грушевидная 4000К нейтр. бел. E27 1430лм 230В IN HOME 46906120202;45;56,74;90;83,7;90;75;85,5;81
1517;00080169;Лампа светодиодная LED-A60-VC 15Вт 230В E27 3000К 1350лм IN HOME 4690612020266 RS;0; ;116; ;116;93;110,2;104,4
1518;00080168;Лампа светодиодная LED-A60-VC 10Вт грушевидная 4000К нейтр. бел. E27 950лм 230В IN HOME 469061202021;1;46,88;75;69,75;75;60;71,25;67,5
1519;00080167;Лампа светодиодная LED-A60-VC 10Вт 230В E27 3000К 900Лм IN HOME 4690612020204 RS;0; ;73; ;73;73;69,35;65,7
1520;00080096;Лампа светодиодная CW 8.5Вт 220В E14 4500К Космос LkecLED8.5wCWE1445 RS;2;57,8;168; ;168;134;159,6;151,2
1521;00080195;Лампа светодиодная LL-R-A60-9W-230-4K-E27 (груша, 9Вт, нейтр., Е27) Ресанта;1;69,63;110;110;110;99;104,5;99
1522;00080194;Лампа светодиодная LL-R-A60-9W-230-3K-E27 (груша, 9Вт, тепл., Е27) Ресанта;0; ; ; ; ; ; ; 
1523;00080193;Лампа светодиодная LL-R-A60-7W-230-4K-E27 (груша, 7Вт, нейтр., Е27) Ресанта;25;67,49;105;105;105;96;99,75;94,5
1524;00080192;Лампа светодиодная LL-R-A60-13W-230-4K-E27 (груша, 13Вт, нейтр., Е27) Ресанта;21;77,37;125;125;125;117;118,75;112,5
1525;00080191;Лампа светодиодная LL-R-A60-11W-230-6K-E27 (груша, 11Вт, холод., Е27) Ресанта;16;67,34;115;115;115;102;109,25;103,5
1526;00080190;Лампа светодиодная LL-R-A60-11W-230-4K-E27 (груша, 11Вт, нейтр., Е27) Ресанта;1;70,78;110;110;110;98;104,5;99
1527;00080189;Лампа светодиодная LED-ШАР-VC 8Вт 230В E27 4000К 720лм IN HOME 4690612020570 RS;2;51,33;70;65,1;70;58;66,5;63
1528;00080188;Лампа светодиодная LED-ШАР-VC 8Вт 230В E27 3000К 720лм IN HOME 4690612020563 RS;0; ;101; ;101;81;95,95;90,9
1529;00080113;Лампа светодиодная LED-ШАР-VC 8Вт 230В E14 4000К 720лм IN HOME 4690612020556 RS;15;44,63;70;65,1;70;60;66,5;63
1530;00080111;Лампа светодиодная LED-ШАР-VC 8Вт 230В E14 3000К 720лм IN HOME 4690612020549 RS;1;51,32;103; ;103;82;97,85;92,7
1531;00080187;Лампа светодиодная LED-ШАР-VC 6Вт 230В E27 4000К 540лм IN HOME 4690612020532 RS;0; ;70;65,1;70;58;66,5;63
1532;00080186;Лампа светодиодная LED-ШАР-VC 11Вт 230В E27 4000К 990лм IN HOME 4690612020617 RS;0; ;80;74,4;80;65;76;72
1533;00080185;Лампа светодиодная LED-ШАР-VC 11Вт 230В E27 3000К 990лм IN HOME 4690612020600 RS;0; ;122; ;122;98;115,9;109,8
1534;00080110;Лампа светодиодная LED-ШАР-VC 11Вт 230В E14 4000К 990лм IN HOME 4690612020594 RS;0; ;80;74,4;80;65;76;72
1535;00080109;Лампа светодиодная LED-ШАР-VC 11Вт 230В E14 3000К 990лм IN HOME 4690612020587 RS;0; ;124; ;124;99;117,8;111,6
1536;00080184;Лампа светодиодная LED-СВЕЧА-VC 8Вт 230В E27 4000К 720лм IN HOME 4690612020457 RS;0; ;70;65,1;70;58;66,5;63
1537;00080183;Лампа светодиодная LED-СВЕЧА-VC 8Вт 230В E27 3000К 720лм IN HOME 4690612020440 RS;0; ;103; ;103;82;97,85;92,7
1538;00080107;Лампа светодиодная LED-СВЕЧА-VC 8Вт 230В E14 4000К 720лм IN HOME 4690612020433 RS;0; ;70;65,1;70;60;66,5;63
1539;00080106;Лампа светодиодная LED-СВЕЧА-VC 8Вт 230В E14 3000К 720лм IN HOME 4690612020426 RS;0; ;104; ;104;83;98,8;93,6
1540;00080104;Лампа светодиодная LED-СВЕЧА-VC 11Вт свеча 4000К нейтр. бел. E14 1050лм 230В IN HOME 469061202047 RS;1;49,25;80;74,4;80;65;76;72
1541;00080182;Лампа светодиодная LED-СВЕЧА-VC 11Вт 230В E27 4000К 990лм IN HOME 4690612020495 RS;22;50,39;80;74,4;80;65;76;72
1542;00080103;Лампа светодиодная LED-СВЕЧА-VC 11Вт 230В E14 6500К 990лм IN HOME 4690612024844 RS;0; ;80;74,4;80;65;76;72
1543;00080102;Лампа светодиодная LED-СВЕЧА-VC 11Вт 230В E14 3000К 990лм IN HOME 4690612020464 RS;0; ;122; ;122;98;115,9;109,8
1544;00080100;Лампа светодиодная LED-СВЕЧА НА ВЕТРУ-VC 8Вт свеча на ветру 4000К E14230В 4690612030432 RS;0; ;56; ;56;51;53,2;50,4
1545;00080099;Лампа светодиодная LED-СВЕЧА НА ВЕТРУ-VC 11Вт  4000К  E14 1050лм 230В   4690612030470 RS;0; ;124; ;124;99;117,8;111,6
1546;00080039;Лампа светодиодная LED-JCDR-VC 8Вт 230В GU5.3 4000К 720лм IN HOME 4690612020334 RS;0; ;108; ;108;86;102,6;97,2
1547;00080038;Лампа светодиодная LED-JCDR-VC 8Вт 230В GU5.3 3000К 720лм IN HOME 4690612020327 RS;0; ;65;60,45;65;55;61,75;58,5
1548;00080037;Лампа светодиодная LED-JCDR-VC 6Вт 230В GU5.3 4000К 525лм IN HOME 4690612020372 RS;0; ;65;60,45;65;52;61,75;58,5
1549;00079674;Кабель ВВГп-нг (А) LS 3х2,5 (0,66 кВ) ККЗ (бухта 100м);13 496;78,75;105;105;105;105;99,75;94,5
1550;00080773;Кабель ВВГп-нг (А) LS 3х10 (0,66 кВ);486;337,59;429;429;429;429;407,55;386,1
1551;00079673;Кабель ВВГп-нг (А) LS 3х1,5 (0,66 кВ) ККЗ (бухта 100м);12 192;52,83;68;68;68;68;64,6;61,2
1552;00079672;Кабель ВВГп-нг (А) LS 2х6 (0,66 кВ) ККЗ (бухта 100м);733;124,24;171;171;171;163;162,45;153,9
1553;00079671;Кабель ВВГп-нг (А) LS 2х4 (0,66 кВ) ККЗ (бухта 100м);6 099;90,78;116;116;116;116;110,2;104,4
1554;00079670;Кабель ВВГп-нг (А) LS 2х2,5 (0,66 кВ) ККЗ (бухта 100м);15 527;57,33;70;70;70;70;66,5;63
1555;00080772;Кабель ВВГп-нг (А) LS 2х10 (0,66 кВ);787;225,42;288;288;288;288;273,6;259,2
1556;00079669;Кабель ВВГп-нг (А) LS 2х1,5 (0,66 кВ) ККЗ (бухта 100м);15 803;37,39;46;46;46;46;43,7;41,4
1557;00080771;Кабель ВВГнг(А)-LS 4х10 ЗП (0,66 кВ);500;471,75; ; ; ;600; ; 
1558;00080712;Кабель ВВГ-Пнг(А)-LS 2х6 ок (N) 0.66кВ RS;21;151;169;169;169;151;160,55;152,1
1559;00079668;Кабель ВВГ-П нг(А)-LS 3х2,5 ок(N, PE)-0,66 ГОСТ (100м) TDM;112;87,71;94,9;94,9;94,9;94,9;90,16;85,41
1560;00079667;Кабель ВВГ-П нг(А)-LS 3х1,5 ок(N, PE)-0,66 ГОСТ (100м) TDM;1 179;50,87;61,99;61,99;61,99;61,99;58,89;55,79
1561;00079666;Кабель ВВГ-П нг(А)-LS 2х2,5 ок(N)-0,66 ГОСТ (100м) TDM;18;53,98;71,99;69,99;71,99;65,99;68,39;64,79
1562;00079665;Кабель ВВГ-П нг(А)-LS 2х1,5 ок(N)-0,66 ГОСТ (100м) TDM;848;34,57;45,99;45,99;45,99;44,99;43,69;41,39
1563;00082911;Кабель ВБШвнг(А)-LS 4х185 MC (N) 1 кВ;0; ;12 597,00;12 190,00;12 597,00;10 565,00;11 967,15;11 337,30
1564;00082369;Кабель ВбБШв 3х2,5 ГОСТ;0; ;211;205;211;177;200,45;189,9
1565;00082975;Кабель АВБбШв 4х95;0; ; ; ; ;655; ; 
1566;00079652;Кабель RG 6U CCS 18% 48х0.12 100м (м) Net.on 03-0103 RS;0; ;20;18,6;20;16;19;18
1567;00079629;ИК датчик движения потолочный 1200Вт 360гр. до 6м IP20 MS-20B EKF;2;484,17;813;774;813;629;772,35;731,7
1568;00079628;ИК датчик движения наст. 1200Вт 180гр. до 12м IP65 MS-40 EKF;6;607,64;1 020,00;971;1 020,00;789;969;918
1569;00079627;ИК датчик движения наст. 1200Вт 180гр. до 12м IP44 MS-39b черный EKF;12;398;668;636;668;517;634,6;601,2
1570;00079625;ИК датчик движения наст. 1200Вт 180гр. до 12м IP44 MS-39 EKF;13;373,38;627;597;627;485;595,65;564,3
1571;00079624;ИК датчик движения наст. 1200Вт 180гр. до 12м IP44 MS-16Cb черный EKF;17;466,34;842;802;842;642;799,9;757,8
1572;00079622;ИК датчик движения наст. 1200Вт 180гр. до 12м IP44 MS-118B EKF;0; ;815;770;815;512;774,25;733,5
1573;00083259;Изолятор пластиковый слоновая кость(100 шт) TDM;14;392,27;622;603;622;537;590,9;559,8
1574;00083260;Изолятор пластиковый слоновая кость(10 шт) TDM;16;86,92;138;134;138;119;131,1;124,2
1575;00080458;Изолятор пластиковый коричневый (100 шт) TDM;0;392,27;622;603;622;537;590,9;559,8
1576;00084167;Канал каб. (16х16) (2 м=1 шт) белый EKF-Plast;163;54,85;88;82;88;66;83,6;79,2
1577;00079743;Канал каб. (100х40) (8 м) белый EKF-Plast;0; ;478;455;478;370;454,1;430,2
1578;00084160;Канал каб. (100х40) (2 м= 1 шт) белый EKF-Plast;5;569,12;956;910;956;726;908,2;860,4
1579;00083280;Кабельная розетка 2П б/з с з/ш 10А 250B черная TDM;61;50,88;81;79;81;70;76,95;72,9
1580;00084209;Кабель-канал 40х25 ECOLINE (2м=1шт) IEK ЭЛК;3;239,84;436;436;436;400;414,2;392,4
1581;00079741;Кабель-канал 40х25 ECOLINE (24 м) IEK ЭЛК;0; ;218,28; ;218,28;196,45;207,37;196,45
1582;00084216;Кабель-канал 25x25мм белый ЭЛЕКОР (2м);3;0,01; ; ; ; ; ; 
1583;00079740;Кабель-канал 20х10 ECOLINE (96 м) IEK ЭЛК;0; ;104,86; ;104,86;94,37;99,62;94,37
1584;00079737;Кабель-канал 1000х40 ECOLINE (2 м=1шт) IEK ЭЛК;1;229,67;374,5; ;374,5;337,05;355,78;337,05
1585;00081011;Кабель силовой ППГнг(А)-FRHF 5х6,0 Универсалкабель ГОСТ;0;367,73; ; ; ;507; ; 
1586;00081010;Кабель силовой ППГнг(А)-FRHF 5х10 СМ Кабель ГОСТ (1);0;457,54; ; ; ;631; ; 
1587;00079655;Кабель РК 75-4-11А (м) Rexant 01- 2693 RS;0; ;69; ;69;69;65,55;62,1
1588;00080770;Кабель ППГнг(А)-HF 5х6 (0,66 кВ);0; ; ; ; ;477; ; 
1589;00080769;Кабель ППГнг(А)-HF 5х4 (0,66 кВ);0; ; ; ; ;330; ; 
1590;00080767;Кабель ППГнг(А)-HF 5х2,5 (0,66 кВ);0; ; ; ; ;207; ; 
1591;00080766;Кабель ППГнг(А)-HF 5х16 (0,66 кВ);0; ; ; ; ;1 256,00; ; 
1592;00080765;Кабель ППГнг(А)-HF 5х10 (0,66 кВ);0; ; ; ; ;772; ; 
1593;00080764;Кабель ППГнг(А)-HF 3х4 (0,66 кВ);0; ; ; ; ;203; ; 
1594;00080763;Кабель ППГнг(А)-HF 3х2,5 (0,66 кВ);0; ; ; ; ;129; ; 
1595;00080761;Кабель ППГнг(А)-FRHF 3х1,5 (0,66 кВ);0; ; ; ; ;95; ; 
1596;00079682;Кабель КГтп-ХЛ 2*2,5 ККЗ (бухта 100м);102;60,59;86;84;86;80;81,7;77,4
1597;00079681;Кабель КГтп-ХЛ 2*1,5 ККЗ (бухта 150м);0; ;55;54;55;51;52,25;49,5
1598;00079680;Кабель КГтп-ХЛ 1х25 ККЗ (бухта 100м);0; ;289;289;289;289;274,55;260,1
1599;00079679;Кабель КГтп 2х2.5 0.66кВ (м) Конкорд 7410 RS;75;77,51;97;97;97;97;92,15;87,3
1600;00079654;Кабель витая пара U/UTP кат.5E 4х2х24AWG solid CU PVC сер. (м) GENERICA BC1-C5E04-111-305-G RS;0; ;35;32,55;35;27;33,25;31,5
1601;00079653;Кабель витая пара F/UTP 4х2х24AWG кат.5E solid CU PVC сер. (м)  01-0143 RS;0; ;65;60,45;65;55;61,75;58,5
1602;00079676;Кабель ВВГп-нг (А) LS 3х6 (0,66 кВ) ККЗ (бухта 100м);391;192,22;244;244;244;243;231,8;219,6
1603;00079675;Кабель ВВГп-нг (А) LS 3х4 (0,66 кВ) ККЗ (бухта 100м);3 380;142,78;160;160;160;160;152;144
1604;00079420;Зажим винтовой ЗВИ-5 1,5-4мм2 12пар  IEK ЭЛК;0; ;111,28; ;111,28;100,15;105,72;100,15
1605;00079419;Зажим винтовой ЗВИ-3 1,0-2,5мм2 12пар  IEK ЭЛК;7;36,95;86,67; ;86,67;78;82,34;78
1606;00080685;Зажим анкерный клиновой PA25x100 2-4x16-35 мм2 EKF;247;62,24;105;100;105;82;99,75;94,5
1607;00086018;Зажим анкерный ЗАН 50-70/1500 (PA 1500) IEK;0; ; ; ; ; ; ; 
1608;00086017;Зажим анкерный ЗАБ 4х16-35 (SO 158) IEK;0; ; ; ; ; ; ; 
1609;00086016;Зажим анкерный ЗАБ 16-35 М (PA25x100) IEK;0; ; ; ; ; ; ; 
1610;00079781;Заглушка кабельной трассы КМЗ 60х40 (4 шт./комп.) IEK ЭЛК;8;119,22;217,21; ;217,21;195,49;206,35;195,49
1611;00079780;Заглушка кабельной трассы КМЗ 40х25 (4 шт./комп.) IEK ЭЛК;5;61,53;112,35; ;112,35;101,12;106,73;101,12
1612;00079779;Заглушка кабельной трассы КМЗ 20х10 (4 шт./комп.) IEK ЭЛК;9;37,64;68,48; ;68,48;61,63;65,06;61,63
1613;00079778;Заглушка кабельной трассы КМЗ 16х16 (4 шт./комп.) IEK ЭЛК;10;33,84;62,06; ;62,06;55,85;58,96;55,85
